name,trainer,Analytic_W1,Independent_W1,Determined_W1,Professional_W1,Studious_W1,Imaginative_W1,Analytic_W2,Independent_W2,Determined_W2,Professional_W2,Studious_W2,Imaginative_W2,Analytic_W3,Independent_W3,Determined_W3,Professional_W3,Studious_W3,Imaginative_W3,Analytic_W4,Independent_W4,Determined_W4,Professional_W4,Studious_W4,Imaginative_W4,Analytic_W5,Independent_W5,Determined_W5,Professional_W5,Studious_W5,Imaginative_W5,Analytic_W6,Independent_W6,Determined_W6,Professional_W6,Studious_W6,Imaginative_W6,Analytic_W7,Independent_W7,Determined_W7,Professional_W7,Studious_W7,Imaginative_W7,Analytic_W8,Independent_W8,Determined_W8,Professional_W8,Studious_W8,Imaginative_W8
Quintus Penella,Gregor Gomez,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxy Bensen,Eshal Brandt,2,4,2,4,1,2,5,3,1,3,4,3,1,4,4,3,2,4,6,2,7,8,8,8,6,6,7,5,7,5,5,8,4,7,5,4,8,7,6,5,6,5,8,8,8,8,8,8,8,8,7,8,4,8,8,8,8,8,8,8
Calida Behr,Eshal Brandt,2,2,3,5,2,1,3,1,1,3,1,4,5,1,4,3,6,4,5,5,7,3,8,7,8,8,5,5,3,4,5,8,5,6,6,4,8,6,6,8,8,7,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8,8,8
Dannel Longmaid,Eshal Brandt,2,8,5,3,7,5,3,1,1,5,7,3,4,3,2,2,3,2,4,8,8,5,8,5,7,3,7,2,8,7,3,4,5,8,5,7,7,8,7,8,8,6,8,8,8,8,8,8,8,8,8,8,5,8,8,8,8,8,8,8
Sarah Magor,Eshal Brandt,2,4,1,2,6,2,3,2,4,5,1,3,3,5,4,4,7,1,4,5,6,8,3,3,5,2,5,6,4,3,7,7,8,8,8,7,6,8,2,6,8,6,6,8,7,8,7,7,8,7,8,2,8,8,8,8,8,8,8,8
Alistair Scanes,Eshal Brandt,4,2,4,1,2,3,3,4,2,5,3,2,3,2,3,3,3,3,6,8,2,4,8,3,4,4,5,7,6,6,3,4,8,8,5,7,8,6,8,8,7,8,8,5,8,8,7,5,8,8,8,4,7,8,8,8,8,8,8,8
Homere Stentiford,Eshal Brandt,2,2,4,2,5,3,1,3,2,1,6,2,3,3,2,3,7,3,5,4,7,5,4,4,8,8,8,5,3,3,7,2,5,7,5,8,7,8,8,2,6,8,8,8,4,8,8,4,8,7,8,8,5,6,8,8,8,8,8,8
Alvie Bleackly,Eshal Brandt,4,3,2,3,5,2,4,1,4,1,3,1,6,3,1,2,1,6,7,8,8,8,5,4,6,7,8,5,7,2,6,4,4,6,8,5,7,8,8,8,6,8,8,8,8,8,8,8,8,8,8,8,5,8,6,8,8,8,8,8
Brnaby Bownes,Eshal Brandt,2,1,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Nunson,Eshal Brandt,4,2,2,3,2,2,2,5,2,2,4,3,7,3,3,2,2,2,3,5,7,4,5,6,8,2,4,5,7,8,6,2,3,6,7,8,8,8,8,3,5,8,8,6,8,8,8,8
Deirdre Van Den Velde,Eshal Brandt,4,1,4,1,4,2,1,5,3,4,4,1,3,4,5,4,2,3,8,6,6,5,7,6,8,2,5,8,8,6,2,8,5,4,3,8,8,7,8,5,8,8,8,5,8,8,8,8
Brose Menghi,Eshal Brandt,1,5,3,1,3,3,3,3,2,1,4,3,3,2,3,3,1,3,3,8,2,8,7,7,8,4,2,5,7,4,7,8,6,6,4,8,6,8,8,8,8,8,7,8,4,8,8,4
Edithe Dimitrov,Eshal Brandt,1,3,3,2,3,6,3,5,2,2,3,2,3,1,3,3,1,4,5,6,7,7,8,8,6,6,4,6,5,3,8,6,8,4,2,1,8,7,7,8,8,8,8,8,8,8,8,8
Demetrius Tunstall,Eshal Brandt,5,2,2,4,1,3,8,3,4,6,4,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chucho Galfour,Eshal Brandt,6,2,6,1,3,5,3,3,3,3,2,5,2,4,4,3,1,3,8,3,8,6,8,1,8,7,8,8,5,6,6,8,5,6,3,8,8,8,8,8,5,8,8,6,5,8,4,8
Mozelle Grinnov,Eshal Brandt,2,5,1,1,3,3,2,2,5,7,2,1,4,2,2,2,5,2,7,4,7,6,8,5,8,8,6,8,3,6,5,7,2,6,4,3,8,8,8,8,8,8,7,8,8,7,8,8
Roze Yepiskopov,Eshal Brandt,3,4,4,1,1,1,4,1,5,6,4,4,4,2,4,1,4,3,8,2,4,2,8,6,8,6,8,5,6,7,2,6,6,6,4,4,4,8,8,6,8,8,8,8,6,8,8,7
Denise Oppy,Eshal Brandt,1,7,4,4,2,5,2,1,4,2,2,2,6,4,3,2,3,3,6,8,7,8,4,7,8,7,6,4,3,2,5,5,6,4,5,4,8,8,8,8,4,7,5,7,8,6,8,8
Rafi Downse,Eshal Brandt,2,1,2,2,5,1,6,2,1,3,3,3,6,4,3,2,2,1,7,8,2,7,8,5,3,7,3,8,7,8,6,5,8,8,6,8,7,6,8,8,8,8,8,8,8,8,8,8
Camellia Bette,Eshal Brandt,2,4,4,1,2,2,1,3,3,1,3,2,6,3,2,2,8,1,7,3,1,6,4,3,5,4,4,3,3,6,8,7,3,5,3,3,7,8,4,5,8,8,8,8,8,8,8,4
Care Ife,Eshal Brandt,4,1,2,1,2,4,3,5,4,2,3,4,4,4,1,2,5,2,8,7,4,8,8,5,8,5,8,6,8,4,6,8,8,6,4,2,8,6,5,8,8,8,6,8,8,4,8,6
Vance Fey,Macey Broughton,6,1,6,4,8,5,1,1,1,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dulcine Duffil,Macey Broughton,3,1,4,5,2,3,3,2,2,2,2,5,4,1,1,4,3,7,8,4,2,8,7,3,6,5,4,8,7,5,7,5,8,8,5,7,6,8,6,6,8,8,8,4,8,8,5,8,6,8,8,6,8,8,8,8,8,8,6,8
Nona Coghlan,Macey Broughton,7,2,4,4,1,3,4,3,3,5,4,1,2,4,4,3,4,1,8,8,8,4,8,7,5,4,6,5,8,2,8,7,7,6,7,5,7,8,8,8,5,8,8,8,7,8,5,8,8,6,4,8,8,8,8,8,8,8,8,8
Dorette Landall,Macey Broughton,4,6,2,3,3,5,4,2,7,3,2,6,1,1,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valdemar Smithen,Macey Broughton,2,2,2,3,4,2,1,5,2,3,2,3,1,5,4,2,5,4,8,8,3,4,5,8,6,7,7,7,8,5,5,3,3,8,7,5,8,8,8,6,8,8,4,8,7,8,5,8,6,7,6,7,8,7,8,8,8,8,8,7
Norene Dericut,Macey Broughton,4,2,2,3,3,4,1,7,3,2,4,2,1,3,2,2,2,4,3,4,8,8,4,8,6,5,2,4,5,8,7,7,3,6,3,3,5,8,6,8,8,8,8,7,8,8,8,7,8,8,8,8,8,7,8,7,8,8,8,8
Jillian Wenn,Macey Broughton,4,4,3,2,2,2,3,4,2,3,5,6,3,5,3,3,6,5,8,4,6,8,8,4,4,8,8,6,8,8,7,5,8,4,2,8,5,8,8,8,8,7,8,8,8,8,8,8,7,8,8,8,5,6,8,8,8,8,8,8
Saraann Elcombe,Macey Broughton,1,3,3,3,4,5,3,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenn Blitz,Mohammad Velazquez,5,2,2,1,7,3,3,5,2,5,4,4,4,3,4,3,3,1,4,3,2,5,5,7,2,6,8,5,5,8,3,8,6,8,8,6,7,8,8,8,8,6,8,8,8,8,7,8
Chandra Best,Mohammad Velazquez,4,6,6,6,2,3,2,1,2,4,1,3,1,6,2,5,2,2,8,4,5,7,6,7,8,7,6,5,6,4,4,5,4,8,6,5,8,7,7,8,8,6,8,8,8,6,7,8
Boniface Tansley,Mohammad Velazquez,1,4,3,1,2,5,4,4,3,4,1,2,3,7,3,2,4,1,8,4,2,5,2,8,5,6,5,7,4,1,6,4,8,5,5,5,8,5,8,8,8,8,8,8,8,8,8,8
Cristal Jeans,Mohammad Velazquez,8,4,1,3,1,5,2,4,3,2,2,4,5,6,1,2,4,2,8,4,7,8,5,6,4,8,8,7,6,6,8,7,5,7,8,8,7,8,7,8,8,8,8,8,6,6,8,8
Urson Sibthorp,Mohammad Velazquez,4,3,1,1,3,3,4,2,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernon Bennough,Mohammad Velazquez,4,3,2,1,4,3,2,4,5,1,1,1,2,2,2,2,4,3,8,4,4,6,7,8,8,7,3,7,4,2,5,6,6,2,8,3,6,5,8,8,8,6,8,8,8,8,5,6
Payton Turbard,Mohammad Velazquez,4,2,5,2,4,2,4,5,4,3,4,3,1,6,1,3,3,1,2,6,4,4,6,8,7,7,5,6,7,3,6,3,8,6,7,8,8,8,8,8,8,8,6,8,8,8,8,8
Lilly Andreasen,Mohammad Velazquez,2,4,2,2,1,7,2,3,4,1,3,5,1,3,3,2,4,3,8,5,7,8,8,7,6,5,5,5,8,4,3,8,3,7,3,4,8,8,8,8,8,8,8,8,8,8,8,8
Dixie O' Flaherty,Mohammad Velazquez,3,1,2,4,2,1,2,2,7,2,3,4,1,3,4,2,6,2,8,3,4,8,7,7,6,6,3,3,7,5,4,4,3,2,7,5,8,8,8,5,8,8,8,8,8,6,8,8
Engelbert Palatino,Mohammad Velazquez,3,4,3,1,2,5,6,3,1,1,3,1,5,3,2,2,8,2,6,8,5,8,8,7,5,7,7,5,6,5,8,6,8,1,3,6,8,7,6,8,8,7,8,8,8,8,8,8
Dudley Whiles,Mohammad Velazquez,3,2,2,3,2,1,3,1,3,2,1,3,6,2,2,4,4,3,8,6,7,8,6,4,8,7,6,3,2,4,6,6,8,3,8,4,8,8,7,8,8,8,8,8,8,8,8,8
Tory Aireton,Macey Broughton,3,4,2,4,1,2,3,1,2,4,3,4,7,2,3,3,4,2,5,7,7,8,6,6,8,5,5,7,6,4,6,4,6,8,6,3,7,7,7,8,7,8,8,8,8,8,8,7,8,8,8,7,3,8,8,8,8,8,8,8
Kelly Coneybeer,Macey Broughton,2,2,5,3,1,5,2,2,3,1,2,4,3,4,5,4,6,1,6,6,6,2,4,4,6,5,8,8,4,6,8,8,5,5,5,8,8,5,8,8,8,8,8,8,5,8,8,8,3,5,7,8,3,8,8,8,7,8,8,8
Mic Wilshire,Macey Broughton,4,4,5,7,3,4,1,3,4,1,2,3,3,1,4,1,3,2,7,6,8,3,4,1,5,2,3,4,5,1,8,8,4,3,7,8,8,8,8,6,8,8,8,4,8,8,8,8,7,8,8,8,8,8,8,8,8,8,6,8
Florella Boays,Macey Broughton,1,6,1,2,4,1,3,4,1,2,7,1,5,2,1,2,2,2,5,8,6,8,5,6,8,6,8,7,4,3,8,7,6,2,5,6,5,8,8,4,8,8,8,8,5,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8
Marshal Darycott,Macey Broughton,5,2,2,1,1,6,2,5,1,2,1,7,2,2,4,3,2,3,6,8,8,6,8,4,8,3,6,5,8,7,4,6,6,6,2,5,5,7,7,8,4,6,8,8,8,8,6,4,4,8,8,6,8,8,8,8,8,8,8,8
Elva Boldero,Macey Broughton,7,2,4,1,3,5,8,4,2,4,6,5,3,1,1,2,3,5,6,2,8,7,8,8,8,5,6,3,8,4,7,5,4,5,6,5,6,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,8
Archibold Spikeings,Macey Broughton,4,1,4,1,4,3,5,6,4,7,2,5,3,1,3,1,2,4,8,7,5,4,5,2,8,6,8,6,8,8,8,8,8,8,6,2,4,8,6,5,8,8,7,8,8,8,8,6,7,5,7,8,8,8,8,8,8,8,8,8
Anatole Burston,Macey Broughton,2,4,1,2,2,5,1,6,3,1,4,3,5,2,3,3,3,1,7,8,8,5,3,8,8,8,7,8,8,7,4,2,8,8,5,7,8,8,6,8,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Gabbey Caesman,Macey Broughton,3,4,1,8,2,4,3,4,4,4,7,8,1,4,3,7,4,3,3,7,8,8,7,8,7,8,3,5,3,8,6,8,4,5,5,4,8,8,8,8,7,8,8,8,8,7,8,8,7,8,8,8,8,6,8,8,8,8,7,8
Conny Samms,Mohammad Velazquez,1,4,1,4,3,5,1,4,2,1,2,4,2,1,1,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karyn Huortic,Mohammad Velazquez,4,4,1,3,4,2,3,2,4,8,2,5,4,5,4,1,2,2,6,5,8,3,2,4,8,4,2,8,8,8,7,3,3,7,3,1,8,8,8,8,6,7,5,8,6,8,8,8
Giacopo Kyndred,Mohammad Velazquez,1,1,2,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fin Lung,Mohammad Velazquez,1,2,5,2,4,2,2,1,5,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marja Morfield,Mohammad Velazquez,3,5,2,5,1,3,2,1,3,1,2,8,3,4,3,4,2,1,8,6,3,8,5,8,8,8,8,6,4,4,8,6,8,8,6,7,8,6,8,8,8,6,8,7,6,8,4,8
Gussy Stoving,Mohammad Velazquez,1,3,1,4,3,1,5,5,4,3,1,5,1,4,5,2,3,1,4,8,4,6,5,6,5,4,3,5,5,8,4,8,7,6,6,8,8,8,8,8,8,8,8,8,8,8,8,6
Leena Joselevitch,Mohammad Velazquez,3,3,5,7,4,1,1,3,2,5,1,2,6,7,1,4,5,1,7,8,6,8,7,4,8,8,4,6,5,7,8,5,4,2,7,5,7,5,8,8,8,3,8,8,8,8,8,8
Lazare Nellies,Mohammad Velazquez,2,2,4,2,5,1,4,6,1,2,5,3,2,2,3,3,3,3,7,6,8,8,2,8,7,8,8,8,5,8,8,7,8,8,3,8,8,6,5,8,8,8,8,7,6,7,7,8
Flore Masden,Mohammad Velazquez,2,4,3,1,3,4,5,2,3,2,3,1,2,3,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benita Downgate,Mohammad Velazquez,1,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clark Kovacs,Mohammad Velazquez,1,1,3,2,2,6,4,2,3,6,1,3,1,2,4,4,4,4,6,8,4,8,8,4,7,8,5,4,8,8,4,7,8,4,6,4,7,8,8,8,8,8,8,8,8,8,4,8
Horten Koomar,Mohammad Velazquez,4,2,1,3,2,3,4,3,1,2,3,3,3,1,5,1,4,5,8,4,5,3,6,5,8,8,7,3,8,5,6,6,6,6,5,7,8,8,8,6,8,8,8,8,8,8,6,8
Moritz Mosedall,Mohammad Velazquez,1,1,5,1,2,6,5,3,3,3,2,2,3,2,2,3,6,1,8,6,8,5,5,3,6,8,7,7,4,2,7,4,5,7,7,7,6,8,8,7,8,5,4,8,7,8,8,8
Chaim Inseal,Mohammad Velazquez,1,3,3,4,1,2,3,3,5,5,7,1,5,5,1,1,3,3,7,6,5,7,8,8,2,6,6,8,8,4,2,5,4,8,4,6,6,6,8,8,8,8,7,8,5,8,8,8
Gertruda Syddie,Mohammad Velazquez,3,1,2,8,1,4,2,4,3,1,3,1,6,2,1,2,3,8,6,8,3,5,8,5,8,4,6,2,3,2,6,8,6,8,7,8,8,3,8,8,4,8,8,8,8,8,8,5
Thom Derwin,Mohammad Velazquez,3,7,3,3,3,1,2,7,2,3,4,1,1,3,1,2,6,5,4,4,5,3,6,8,4,3,8,3,8,5,5,3,5,6,7,7,8,8,8,8,8,8,8,4,6,8,8,8
Godfry Sephton,Mohammad Velazquez,4,2,5,1,1,2,4,1,1,3,2,5,3,4,1,5,5,3,8,6,5,8,3,8,5,5,5,7,5,4,1,5,4,8,6,8,8,6,8,8,6,8,8,8,8,6,6,8
